Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
12599958,21.60431,0.033848,-4.987845,0.002935571,-0.1960647,0.002869802,2.959924,0.01025774,-0.01314598,-0.000766128,-0.001332273,-0.0002925928
12699918,21.90357,0.03292591,-4.988356,0.002781673,-0.1960537,0.003368509,2.961282,0.007816866,-0.01090794,-0.0005278108,0.001047988,0.0005135341
12800711,22.20267,0.0320498,-4.988856,0.002944774,-0.1959344,0.003560768,2.964479,0.008049925,-0.01109427,0.001331051,0.001837645,-0.002423941
12900671,22.50195,0.03103916,-4.989369,0.00317395,-0.1957773,0.003584953,2.966114,0.008955927,-0.01096103,0.002070958,0.001381198,-0.004255513
13000631,22.80041,0.03031672,-4.990008,0.003429085,-0.1957098,0.003426911,2.967343,0.008854524,-0.01313632,0.001548514,0.0003015589,-0.00400603
13100591,23.09837,0.0293564,-4.990601,0.003724783,-0.1958017,0.003350039,2.967042,0.01013966,-0.01050391,0.002764763,-0.001635601,-0.003836884
13200551,23.39571,0.02895517,-4.991126,0.003905077,-0.1959955,0.003354053,2.966995,0.01308113,-0.01051549,0.0005006545,-0.001663151,-0.001016952
13300511,23.69234,0.02856501,-4.991492,0.003745176,-0.196222,0.003801449,2.965235,0.01265479,-0.009342897,-0.00147241,-0.002841759,0.002987689
13400471,23.98887,0.02835418,-4.99194,0.00358617,-0.1964911,0.004278202,2.968843,0.01093733,-0.009400408,-0.0002397188,-0.002180791,0.001949204
13500431,24.2853,0.02770987,-4.992211,0.003806823,-0.1966086,0.004452534,2.964187,0.009907191,-0.007046825,0.003386296,-0.001237663,-0.002616318
13600391,24.58149,0.02742623,-4.992334,0.004279401,-0.1970683,0.004157831,2.963145,0.01050784,-0.00594744,0.00295721,-0.004862382,-0.005276808
13700351,24.87788,0.02732096,-4.992415,0.004445119,-0.1975153,0.003983565,2.962039,0.01407881,-0.007623343,-0.000869331,-0.003548003,-0.002200587
13800311,25.17416,0.02768332,-4.992555,0.004244103,-0.1979324,0.004288235,2.961231,0.01625138,-0.006930801,-0.002313069,-0.004203933,0.003574316
13900271,25.47111,0.02773887,-4.992571,0.004001166,-0.198256,0.004942826,2.965422,0.01567202,-0.007361243,-0.0007610765,-0.002088362,0.003911042
14000231,25.76823,0.02805334,-4.992673,0.003977017,-0.1981257,0.005287923,2.967264,0.01646005,-0.006215862,0.0006707694,0.002279563,0.0004847063
14100191,26.06552,0.02825599,-4.992609,0.003965782,-0.1978852,0.005479805,2.966915,0.01596707,-0.00633863,-3.752543e-05,0.001752937,-0.0003364194
14200151,26.36252,0.02856078,-4.992591,0.004065013,-0.1979302,0.005518611,2.96593,0.01650173,-0.006424736,0.001704207,-0.00141326,-0.001832782
14300111,26.65976,0.02883158,-4.992492,0.00421278,-0.1981131,0.005535562,2.9684,0.01841117,-0.005843021,0.001032698,-0.001617613,-0.001253269
14400071,26.95712,0.02948398,-4.992462,0.004139052,-0.1981569,0.00574838,2.968594,0.02001795,-0.006451388,-0.0007661775,-0.0001923931,0.00173416
14500031,27.25496,0.02985818,-4.992423,0.003936012,-0.1981147,0.006216133,2.969059,0.01881916,-0.006657837,-0.001215812,0.0004287049,0.002792425
14599991,27.5528,0.03036014,-4.992433,0.003907916,-0.198122,0.006504465,2.970685,0.01765389,-0.007297901,0.0006342772,-0.000894194,0.0003938656
14699951,27.85124,0.0305863,-4.992356,0.004133605,-0.1980996,0.006546567,2.972116,0.0184006,-0.006935821,0.002344185,0.001286185,-0.002171455
14799911,28.14971,0.03108876,-4.992277,0.004289269,-0.1980066,0.006482219,2.973035,0.01954616,-0.004923323,0.0009350021,0.001383506,-0.001723702
14900704,28.4487,0.03129936,-4.992177,0.004340515,-0.1979572,0.006553385,2.973363,0.01837835,-0.008406815,0.0002311977,-0.0002976494,-0.0007075613
15000664,28.74775,0.03179321,-4.992329,0.004384156,-0.1979485,0.006596562,2.975401,0.02042748,-0.007084186,0.0003455894,0.0004513453,-0.0008234212
15100624,29.04747,0.03209694,-4.992366,0.004371689,-0.1979376,0.00673435,2.978002,0.01983067,-0.007434028,0.0001895617,0.0005318634,0.0002300077
15200584,29.34695,0.03249743,-4.992484,0.004390895,-0.1978053,0.006869205,2.979211,0.01920521,-0.008098449,0.001137689,0.001635264,-0.0004150252
15300544,29.64667,0.03255212,-4.992548,0.004539007,-0.1976829,0.006830829,2.981783,0.01901718,-0.00695476,0.001663418,0.001479233,-0.002437863
15400504,29.94592,0.03302408,-4.992313,0.00473978,-0.1976105,0.006717811,2.979859,0.01996703,-0.004835518,0.001061157,-0.0002669337,-0.001677333
15500464,30.24497,0.0332948,-4.992226,0.004810207,-0.1978077,0.006807478,2.97909,0.02321301,-0.007667204,0.001138105,-0.002496202,0.0002317362
15600424,30.54375,0.03413798,-4.992197,0.004729894,-0.1980473,0.007081868,2.978856,0.02767727,-0.007528897,-0.001129146,-0.00258252,0.00296041
15700384,30.84277,0.04006956,-4.992008,0.003268816,-0.1982353,0.008615025,2.980918,0.1294486,-0.005866149,-0.02929463,-0.001418449,0.02942487
15800344,31.1416,0.05568187,-4.991932,-0.006693828,-0.1982778,0.0180833,2.979039,0.2213964,-0.004845847,-0.1094225,-0.001304002,0.1339157
15900304,31.44069,0.07882348,-4.991834,-0.0247249,-0.1980487,0.03843202,2.980413,0.3053402,-0.008510396,-0.1530856,0.0002761212,0.2297923
16000264,31.73977,0.1083342,-4.991958,-0.04609321,-0.1969487,0.06476808,2.978446,0.3735144,-0.006367201,-0.1630634,0.00311707,0.2648226
